,ep,mean_score_last25_ep,epsilon,ep_time,all_time_highest
358,8975,20.24,0.01,0.11829136181674628,55
359,9000,23.92,0.01,0.11860052421357897,55
360,9025,18.56,0.01,0.11875799044347536,55
361,9050,17.52,0.01,0.11891128742892439,55
362,9075,16.96,0.01,0.11902682128359791,55
363,9100,13.16,0.01,0.11910018090363388,55
364,9125,15.0,0.01,0.11938726958183393,55
365,9150,15.96,0.01,0.11960421924382611,55
366,9175,17.68,0.01,0.11978798094497389,55
367,9200,17.64,0.01,0.11999178044174029,55
368,9225,16.4,0.01,0.12011933580000549,55
369,9250,15.76,0.01,0.12026976920462944,55
370,9275,16.84,0.01,0.12047753256928889,55
371,9300,12.36,0.01,0.12052224702732538,55
372,9325,14.92,0.01,0.12062774630078682,55
373,9350,14.8,0.01,0.1206958322729019,55
374,9375,14.68,0.01,0.1208553146870931,55
375,9400,19.52,0.01,0.12103424379166136,55
376,9425,12.64,0.01,0.12104045708552595,55
377,9450,13.52,0.01,0.12108636767775924,55
378,9475,15.76,0.01,0.12120312434073174,55
379,9500,10.48,0.01,0.12149458784806101,55
380,9525,10.96,0.01,0.12160299851825544,55
381,9550,9.24,0.01,0.12207736592018167,55
382,9575,7.04,0.01,0.12225042557280617,55
383,9600,17.0,0.01,0.1224228580792745,55
384,9625,18.52,0.01,0.12256932768883644,55
385,9650,17.96,0.01,0.12269084411581563,55
386,9675,18.12,0.01,0.12290041418346631,55
387,9700,13.84,0.01,0.12311177229143909,55
388,9725,11.08,0.01,0.12323249777668853,55
389,9750,10.56,0.01,0.12336809402857071,55
390,9775,11.4,0.01,0.12348588523962309,55
391,9800,11.32,0.01,0.12354089532579694,55
392,9825,12.16,0.01,0.12386198301048376,55
393,9850,12.48,0.01,0.12394991463210982,55
394,9875,18.32,0.01,0.12414742981633053,55
395,9900,14.0,0.01,0.12431058452586935,55
396,9925,11.4,0.01,0.12448117236946932,55
397,9950,12.88,0.01,0.12458945837452184,55
398,9975,12.0,0.01,0.12463718717857113,55
399,10000,13.72,0.01,0.12480090973377228,55
